publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p519763,earthquake,2019-07-12T07:30:15.317Z,2019-07-12T07:33:01.276Z,175.8553772,-40.60618973,2.184812981,18.74472237,M,,LOCSAT,confirmed,manual,iasp91,20,11,8,0.101988524,93.93972778,0.45119433,0
2019p519489,earthquake,2019-07-12T05:04:05.940Z,2019-07-12T05:10:20.137Z,174.9286346,-41.30310059,1.40232297,3.245732307,M,,LOCSAT,confirmed,manual,iasp91,20,14,7,0.054165348,76.50857544,0.296717791,0
2019p519469,earthquake,2019-07-12T04:53:36.524Z,2019-08-07T02:49:26.778Z,174.9202881,-40.30569839,3.137926113,29.47299194,M,,LOCSAT,confirmed,manual,iasp91,49,33,16,0.318259686,81.05879211,1.067508066,0
2019p519201,earthquake,2019-07-12T02:30:18.276Z,2019-07-12T02:32:48.709Z,174.6068268,-41.24520111,2.097806454,20.48518181,M,,LOCSAT,confirmed,manual,iasp91,20,12,10,0.127685666,80.87918091,0.418460557,0
2019p518993,earthquake,2019-07-12T00:39:51.535Z,2019-07-12T00:45:21.691Z,174.1316071,-41.71014404,1.815205476,12.71509743,M,,LOCSAT,confirmed,manual,iasp91,17,10,5,0.056011841,72.56456375,0.281959304,0
2019p518974,earthquake,2019-07-12T00:29:38.853Z,2019-07-12T00:37:07.785Z,174.5288086,-40.70024109,1.73972238,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,6,0.330795288,109.068295,0.827699086,0
2019p518722,earthquake,2019-07-11T22:15:13.912Z,2019-07-11T22:34:00.783Z,174.4215851,-41.58442688,1.825295627,8.214320183,M,,LOCSAT,confirmed,manual,iasp91,18,12,6,0.226445109,134.4788361,0.427985844,0
2019p518578,earthquake,2019-07-11T20:58:31.847Z,2019-07-11T21:03:37.359Z,175.3218689,-41.49604416,1.721060256,14.24694633,M,,LOCSAT,confirmed,manual,iasp91,16,12,6,0.088744186,144.0203018,0.239272743,0
2019p518262,earthquake,2019-07-11T18:10:34.599Z,2019-07-11T18:14:44.061Z,176.3179169,-40.18737793,1.396431685,39.26599884,M,,LOCSAT,confirmed,manual,iasp91,17,9,7,0.154810935,68.99787903,0.278164742,0
2019p518214,earthquake,2019-07-11T17:44:07.130Z,2019-07-11T17:50:18.116Z,174.0745697,-41.7036972,1.460939808,15.23220921,M,,LOCSAT,confirmed,manual,iasp91,15,9,4,0.113647692,95.55846405,0.307045937,0
2019p518054,earthquake,2019-07-11T16:19:16.986Z,2019-07-11T16:22:04.942Z,175.7322845,-40.58951187,2.848121226,20.23962975,M,,LOCSAT,confirmed,manual,iasp91,24,14,47,0.136866823,129.1374044,0.344155323,0
2019p517778,earthquake,2019-07-11T13:52:37.608Z,2019-07-11T13:53:58.882Z,175.7673798,-40.85502625,1.631519445,19.86568451,M,,LOCSAT,confirmed,manual,iasp91,20,10,7,0.119520985,95.259758,0.2291902,0
2019p517741,earthquake,2019-07-11T13:32:49.401Z,2019-07-11T13:34:33.483Z,176.4084167,-40.22892761,1.773219421,19.39714432,M,,LOCSAT,confirmed,manual,iasp91,18,10,6,0.166311249,81.58093262,0.357929551,0
2019p517558,earthquake,2019-07-11T11:55:20.628Z,2019-07-11T11:58:16.591Z,176.3918762,-40.22399521,1.191254757,20.57903099,M,,LOCSAT,confirmed,manual,iasp91,21,11,7,0.163856,90.79086304,0.517042443,0
2019p517052,earthquake,2019-07-11T07:25:49.933Z,2019-07-11T07:29:44.603Z,175.6460571,-41.15620041,1.637074327,14.94015884,M,,LOCSAT,confirmed,manual,iasp91,18,10,8,0.109113649,97.52258301,0.176980364,0
2019p516814,earthquake,2019-07-11T05:18:53.851Z,2019-07-11T05:21:05.992Z,175.8350983,-40.63572693,1.516138291,23.13132477,M,,LOCSAT,confirmed,manual,iasp91,22,11,9,0.131384477,85.44458008,0.436346409,0
2019p516252,earthquake,2019-07-11T00:19:07.568Z,2019-07-11T00:23:54.021Z,174.8756866,-40.11067581,2.061805162,20.57920074,M,,LOCSAT,confirmed,manual,iasp91,23,14,7,0.220849946,128.4959259,0.648587214,0
2019p516008,earthquake,2019-07-10T22:09:21.435Z,2019-07-10T22:21:57.787Z,175.5328064,-39.94818878,2.21764487,18.09218407,M,,LOCSAT,confirmed,manual,iasp91,24,15,11,0.243087232,87.11341858,0.278612881,0
2019p515877,earthquake,2019-07-10T20:59:45.920Z,2019-07-10T21:09:29.592Z,173.5088806,-41.40761185,2.105043793,45.31225204,M,,LOCSAT,confirmed,manual,iasp91,25,17,6,0.213853702,54.55973625,0.501500286,0
2019p515795,earthquake,2019-07-10T20:15:56.688Z,2019-07-10T20:23:55.869Z,175.8623962,-40.56915283,2.116724686,13.08519077,M,,LOCSAT,confirmed,manual,iasp91,21,12,8,0.141385943,104.0351868,0.546843774,0
2019p515787,earthquake,2019-07-10T20:11:48.548Z,2019-07-10T20:16:46.429Z,176.3914642,-40.23410034,1.671205648,18.74980164,M,,LOCSAT,confirmed,manual,iasp91,21,13,7,0.17376706,64.32014465,0.267534465,0
2019p515724,earthquake,2019-07-10T19:38:09.241Z,2019-08-06T22:54:40.658Z,174.4467926,-41.54317474,2.896391057,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,15,9,0.26979512,150.2949371,0.664169312,0
2019p515663,earthquake,2019-07-10T19:05:27.517Z,2019-07-10T19:11:29.171Z,174.4499359,-41.53957748,2.072507686,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,11,7,0.274063468,149.8771896,0.844365383,0
2019p515619,earthquake,2019-07-10T18:42:09.325Z,2019-07-10T18:48:53.725Z,174.7980652,-39.80688477,2.182897975,24.62332344,M,,LOCSAT,confirmed,manual,iasp91,19,12,7,0.153597772,174.708786,0.532491287,0
2019p515595,earthquake,2019-07-10T18:29:22.593Z,2019-07-10T18:37:27.602Z,176.7192688,-40.30678177,1.638489264,15.68282127,M,,LOCSAT,confirmed,manual,iasp91,21,13,6,0.075943343,202.234581,0.511857062,0
2019p515459,earthquake,2019-07-10T17:16:42.037Z,2019-08-06T22:44:17.641Z,174.862915,-40.22946548,2.604803212,30.50090408,M,,LOCSAT,confirmed,manual,iasp91,15,11,6,0.347066879,99.84542847,0.443636988,0
2019p515111,earthquake,2019-07-10T14:11:40.403Z,2019-07-10T14:16:18.276Z,173.2384338,-41.78082275,1.863315589,61.51704407,M,,LOCSAT,confirmed,manual,iasp91,19,12,5,0.249930814,86.9105072,0.320539715,0
2019p515048,not locatable,2019-07-10T13:37:46.509Z,2019-07-10T14:13:43.000Z,174.9680434,-41.13958627,1.727714874,28.4375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.279479234,90.16328059,0.299990914,0
2019p515022,earthquake,2019-07-10T13:23:59.970Z,2019-07-10T13:27:48.691Z,174.8575134,-40.24721527,2.420167061,27.21327019,M,,LOCSAT,confirmed,manual,iasp91,34,29,11,0.352795243,96.67297363,0.348030203,0
2019p515006,earthquake,2019-07-10T13:15:24.128Z,2019-07-10T14:04:04.655Z,174.0799713,-41.77470016,1.284472591,13.35444355,M,,LOCSAT,confirmed,manual,iasp91,19,14,3,0.068434708,64.65747833,0.487614683,0
2019p514880,earthquake,2019-07-10T12:08:09.957Z,2019-07-10T12:11:11.917Z,174.9859161,-40.12773514,2.041539355,22.03304863,M,,LOCSAT,confirmed,manual,iasp91,23,12,4,0.199639082,165.4730225,0.599067186,0
2019p514779,earthquake,2019-07-10T11:14:23.962Z,2019-08-06T21:20:40.467Z,174.3442535,-41.75386429,3.014698731,13.27956009,M,,LOCSAT,confirmed,manual,iasp91,31,18,10,0.097717009,169.2032928,0.699192772,0
2019p514704,earthquake,2019-07-10T10:34:28.812Z,2019-07-10T10:42:44.168Z,175.061264,-41.50825119,1.950908359,19.73945236,M,,LOCSAT,confirmed,manual,iasp91,51,31,8,0.152720198,134.5548096,0.25117213,0
2019p514665,earthquake,2019-07-10T10:14:00.042Z,2019-07-10T10:20:33.487Z,176.7332001,-40.27563477,1.737121781,12.86302471,M,,LOCSAT,confirmed,manual,iasp91,19,14,7,0.075569019,200.4345589,0.354191538,0
2019p514463,earthquake,2019-07-10T08:26:12.940Z,2019-07-10T08:29:18.426Z,176.7510376,-40.28343582,2.112680507,11.96304321,M,,LOCSAT,confirmed,manual,iasp91,23,13,10,0.090267487,205.3754387,0.504131214,0
2019p514432,earthquake,2019-07-10T08:09:38.718Z,2019-07-10T08:11:53.097Z,176.308197,-40.1987915,2.011989764,36.53765106,M,,LOCSAT,confirmed,manual,iasp91,22,11,6,0.147425547,53.40926743,0.354977786,0
2019p514310,earthquake,2019-07-10T07:04:47.922Z,2019-07-10T07:07:50.227Z,174.7151489,-40.77684784,1.424514138,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,6,0.169867963,189.3377914,0.748679721,0
